,municipality,unemployment_2009,unemployment_2014
0,Ale,5.5,4.9
1,Alingsås,5.7,6.0
2,Alvesta,4.7,8.9
3,Aneby,4.9,6.2
4,Arboga,6.5,9.4
5,Arjeplog,6.1,5.6
6,Arvidsjaur,7.8,7.7
7,Arvika,7.0,6.9
8,Askersund,5.7,5.5
9,Avesta,5.8,8.1
10,Bengtsfors,8.0,8.3
11,Berg,6.4,7.3
12,Bjurholm,5.7,9.2
13,Bjuv,7.0,8.2
14,Boden,6.7,7.8
15,Bollebygd,5.3,4.4
16,Bollnäs,8.6,10.4
17,Borgholm,4.6,5.5
18,Borlänge,6.2,7.2
19,Borås,6.3,6.6
20,Botkyrka,6.2,9.6
21,Boxholm,6.1,6.4
22,Bromölla,6.9,9.0
23,Bräcke,9.8,8.4
24,Burlöv,7.1,9.0
25,Båstad,4.0,6.0
26,Dals-Ed,7.3,6.8
27,Danderyd,1.6,2.0
28,Degerfors,7.2,7.8
29,Dorotea,9.0,7.6
30,Eda,5.5,5.7
31,Ekerö,1.8,2.7
32,Eksjö,4.5,5.8
33,Emmaboda,5.9,7.5
34,Enköping,4.4,4.8
35,Eskilstuna,9.0,11.3
36,Eslöv,4.8,6.5
37,Essunga,5.2,5.1
38,Fagersta,6.6,9.7
39,Falkenberg,5.7,5.7
40,Falköping,5.8,7.2
41,Falun,5.9,5.8
42,Filipstad,9.2,9.5
43,Finspång,5.6,9.1
44,Flen,7.1,10.4
45,Forshaga,7.5,8.2
46,Färgelanda,7.7,7.0
47,Gagnef,5.4,4.7
48,Gislaved,6.6,7.2
49,Gnesta,4.1,5.4
50,Gnosjö,7.0,6.2
51,Gotland,6.5,7.9
52,Grums,8.4,8.7
53,Grästorp,6.0,6.9
54,Gullspång,7.3,9.9
55,Gällivare,7.4,6.8
56,Gävle,8.6,10.2
57,Göteborg,6.1,6.7
58,Götene,5.5,5.3
59,Habo,4.1,3.7
60,Hagfors,9.0,9.2
61,Hallsberg,7.4,7.8
62,Hallstahammar,7.0,8.5
63,Halmstad,5.8,7.2
64,Hammarö,5.9,5.5
65,Haninge,4.0,5.7
66,Haparanda,15.0,11.5
67,Heby,5.2,6.1
68,Hedemora,4.9,6.5
69,Helsingborg,6.7,8.5
70,Herrljunga,5.9,5.3
71,Hjo,6.1,5.8
72,Hofors,7.8,8.1
73,Huddinge,4.4,5.4
74,Hudiksvall,7.7,7.9
75,Hultsfred,8.3,8.4
76,Hylte,4.6,6.7
77,Håbo,2.7,3.9
78,Hällefors,8.9,9.1
79,Härjedalen,5.5,6.4
80,Härnösand,7.9,8.9
81,Härryda,3.3,3.7
82,Hässleholm,7.1,8.9
83,Höganäs,4.6,5.5
84,Högsby,5.1,8.1
85,Hörby,4.5,5.9
86,Höör,4.8,5.1
87,Jokkmokk,7.1,6.7
88,Järfälla,3.6,7.0
89,Jönköping,5.3,5.4
90,Kalix,12.1,8.7
91,Kalmar,5.7,6.5
92,Karlsborg,4.7,6.5
93,Karlshamn,7.0,8.4
94,Karlskoga,7.6,8.2
95,Karlskrona,6.7,8.3
96,Karlstad,6.5,7.1
97,Katrineholm,8.0,9.6
98,Kil,7.6,7.3
99,Kinda,5.2,7.1
100,Kiruna,6.2,3.5
101,Klippan,6.7,7.3
102,Knivsta,2.7,2.9
103,Kramfors,9.5,10.0
104,Kristianstad,6.9,8.9
105,Kristinehamn,8.0,9.7
106,Krokom,5.8,5.8
107,Kumla,6.8,6.1
108,Kungsbacka,3.3,3.4
109,Kungsör,5.2,8.7
110,Kungälv,3.4,2.9
111,Kävlinge,3.9,4.7
112,Köping,7.2,8.6
113,Laholm,6.0,6.2
114,Landskrona,8.3,11.8
115,Laxå,7.3,9.7
116,Lekeberg,5.2,4.8
117,Leksand,5.4,5.0
118,Lerum,3.1,3.0
119,Lessebo,7.7,11.7
120,Lidingö,1.9,3.3
121,Lidköping,4.8,6.6
122,Lilla Edet,6.3,7.3
123,Lindesberg,8.2,8.4
